Disease_ID,Gene_ID
C0236969,4897
C0236969,9547
C0003873,10125
C0003873,4319
C0003873,4321
C0003873,7852
C0003873,8836
C0019693,5685
C0010606,2309
C0010606,284058
C0010606,358
C0010606,3852
C0010606,64324
C3495559,7852
C0023893,2690
C0023893,5105
C0023893,655
C0009404,10457
C0009404,284217
C0009404,4897
C0009404,5268
C0009404,57016
C0009404,6241
C0009404,6423
C0009404,811
C0009404,8836
C0024667,2180
C0024667,3400
C0024667,358
C0024667,3852
C0024667,3925
C0024667,4072
C0024667,5037
C0024667,5315
C0024667,5618
C0024667,5685
C0024667,5947
C0024667,6277
C0024667,6319
C0024667,7170
C0024667,7227
C0024668,2180
C0024668,3397
C0024668,3400
C0024668,358
C0024668,3852
C0024668,3925
C0024668,4072
C0024668,5037
C0024668,5315
C0024668,5618
C0024668,5685
C0024668,5947
C0024668,6277
C0024668,6319
C0024668,7170
C0024668,7227
C0024668,780
C0024668,8648
C0026769,1591
C0026769,54806
C0033578,10451
C0033578,10481
C0033578,11009
C0033578,1474
C0033578,1789
C0033578,1902
C0033578,26227
C0033578,2690
C0033578,2886
C0033578,3732
C0033578,3925
C0033578,3945
C0033578,4072
C0033578,4074
C0033578,5160
C0033578,563
C0033578,655
C0033578,6715
C0033578,780
C0033578,811
C0033578,8648
C0033578,9817
C0004352,2571
C0004352,2690
C0004352,30061
C0004352,4897
C0004352,54806
C0004352,5618
C0004352,6095
C0004352,64324
C0004352,9378
C0001418,2886
C0001418,563
C0001418,7170
C0001418,780
C0020538,10451
C0020538,358
C0020538,5997
C2239176,1646
C2239176,2203
C2239176,3476
C2239176,5105
C2239176,5315
C2239176,57016
C2239176,6194
C2239176,6240
C2239176,6241
C2239176,6319
C2239176,6514
C2239176,898
C0036341,2571
C0036341,284217
C0036341,54806
C0036341,9378
C0151744,1000
C0151744,226
C0151744,2690
C0151744,3397
C0151744,3659
C0151744,5037
C0151744,5160
C0151744,811
C0031117,10125
C0031117,1066
C0031117,1591
C0031117,2571
C0031117,2690
C0031117,3161
C0031117,51129
C0031117,5478
C0031117,6095
C0031117,6240
C0031117,6715
C0031117,7227
C0376634,1789
C0376634,1902
C0376634,284058
C0376634,7227
C0376634,9378
C0242656,1000
C0242656,406984
C0242656,4074
C0242656,5160
C0242656,6194
C0242656,6240
C0242656,898
C0242656,9817
C0000786,11009
C0000786,1591
C0000786,3732
C0000786,4321
C0000786,5618
C0000786,5655
C0027626,10481
C0027626,2057
C0027626,226
C0027626,3400
C0027626,3732
C0027626,3945
C0027626,406984
C0027626,4504
C0027626,51129
C0027626,5315
C0027626,57016
C0027626,7291
C0027626,811
C0027626,8434
C0027626,9846
C0027627,1000
C0027627,1436
C0027627,2057
C0027627,226
