Disease_ID,Gene_ID
C0032927,1072
C0032927,121256
C0032927,1373
C0032927,1948
C0032927,383
C0032927,406884
C0032927,406886
C0032927,406910
C0032927,406984
C0032927,406994
C0032927,407017
C0032927,407029
C0032927,407033
C0032927,407054
C0032927,407056
C0032927,442898
C0032927,442903
C0032927,442906
C0032927,442908
C0032927,442920
C0032927,506
C0032927,5599
C0032927,5601
C0032927,5609
C0032927,574413
C0032927,57628
C0032927,619552
C0032927,693235
C0032927,70
C0032927,724022
C0032927,84909
C0024141,100506023
C0024141,10318
C0024141,11277
C0024141,1380
C0024141,1445
C0024141,1773
C0024141,2113
C0024141,219285
C0024141,2213
C0024141,23294
C0024141,23534
C0024141,286016
C0024141,3120
C0024141,3663
C0024141,3684
C0024141,3687
C0024141,4299
C0024141,54899
C0024141,59067
C0024141,629
C0024141,639
C0024141,640
C0024141,64135
C0024141,64805
C0024141,7148
C0024141,717
C0024141,720
C0024141,7292
C0024141,7332
C0024141,79932
C0024141,941
C0023904,2026
C0023904,2161
C0023904,22800
C0023904,2752
C0023904,283120
C0023904,2922
C0023904,337
C0023904,344
C0023904,406884
C0023904,406886
C0023904,406891
C0023904,406902
C0023904,406910
C0023904,406957
C0023904,406959
C0023904,406962
C0023904,406984
C0023904,406989
C0023904,406994
C0023904,407017
C0023904,407029
C0023904,407030
C0023904,407033
C0023904,407034
C0023904,407040
C0023904,407054
C0023904,407056
C0023904,442898
C0023904,442903
C0023904,442904
C0023904,442906
C0023904,442907
C0023904,442908
C0023904,442920
C0023904,554210
C0023904,574413
C0023904,619552
C0023904,6659
C0023904,693183
C0023904,693235
C0023904,7010
C0023904,724022
C0023904,8795
C0023904,9104
C0027051,1152
C0027051,1158
C0027051,1385
C0027051,1390
C0027051,140
C0027051,153090
C0027051,1952
C0027051,2162
C0027051,23228
C0027051,2678
C0027051,2730
C0027051,3291
C0027051,3309
C0027051,375056
C0027051,3816
C0027051,3939
C0027051,3957
C0027051,4306
C0027051,4625
C0027051,4973
C0027051,5069
C0027051,51330
C0027051,5139
C0027051,53345
C0027051,5350
C0027051,55759
C0027051,6285
C0027051,64805
C0027051,7056
C0027051,7077
C0027051,7137
C0027051,7292
C0027051,7804
C0027051,8204
C0027051,8678
C0022658,10736
C0022658,11136
C0022658,147
C0022658,1558
C0022658,1577
C0022658,23322
C0022658,2628
C0022658,27283
C0022658,3075
C0022658,3116
C0022658,3207
C0022658,406967
C0022658,4601
C0022658,4867
C0022658,4868
C0022658,4881
C0022658,50484
C0022658,5125
C0022658,54361
C0022658,54974
C0022658,55764
C0022658,65125
C0022658,6559
C0022658,6582
C0022658,7020
C0022658,7033
C0022658,7055
C0022658,7369
C0022658,79809
C0022658,90865
C0022658,9104
C0035334,10210
C0035334,123016
C0035334,1406
C0035334,145226
C0035334,22926
C0035334,23418
C0035334,23746
C0035334,24
C0035334,25794
C0035334,26160
C0035334,3000
C0035334,3614
C0035334,4901
C0035334,5158
C0035334,55812
C0035334,57096
C0035334,583
C0035334,5949
C0035334,6010
C0035334,6103
C0035334,6121
C0035334,6295
C0035334,7274
C0035334,7287
C0035334,7399
C0035334,80025
C0035334,84100
C0035334,8842
C0035334,9227
C0035334,9742
C0279626,1072
C0279626,116
C0279626,1192
C0279626,130540
C0279626,1381
C0279626,1476
C0279626,2195
C0279626,2739
C0279626,3146
C0279626,3309
C0279626,3861
C0279626,3872
C0279626,3880
C0279626,482
C0279626,4854
C0279626,5052
C0279626,5216
C0279626,55294
C0279626,6657
C0279626,6876
C0279626,701
C0279626,7403
C0279626,7494
C0279626,7515
C0279626,759
C0279626,760
C0279626,8085
C0279626,811
C0279626,829
C0014544,10617
C0014544,112755
C0014544,1128
C0014544,1129
C0014544,1131
C0014544,116442
C0014544,22953
C0014544,2316
C0014544,2354
C0014544,2562
C0014544,26047
C0014544,26053
C0014544,2911
C0014544,348980
C0014544,3611
C0014544,3756
C0014544,3785
C0014544,4208
C0014544,4317
C0014544,4887
C0014544,4985
C0014544,5025
C0014544,57282
C0014544,57468
C0014544,57526
C0014544,6323
C0014544,6326
C0014544,6334
C0014544,6506
C0014544,7416
C0014544,7417
C0013080,10069
C0013080,10215
C0013080,10311
C0013080,10317
C0013080,10600
C0013080,10694
C0013080,11096
C0013080,116159
C0013080,116448
C0013080,150082
C0013080,150084
C0013080,1826
C0013080,1827
C0013080,1859
C0013080,2078
C0013080,2114
C0013080,23515
C0013080,23562
C0013080,2551
C0013080,25825
C0013080,25966
C0013080,2618
C0013080,2623
C0013080,26285
C0013080,2897
C0013080,29104
C0013080,2946
C0013080,29980
C0013080,30811
C0013080,3141
C0013080,3150
C0013080,3454
C0013080,3455
C0013080,3460
C0013080,3588
C0013080,3753
C0013080,3763
C0013080,3772
C0013080,406947
C0013080,4513
C0013080,4600
C0013080,4685
C0013080,5121
C0013080,51227
C0013080,53820
C0013080,539
C0013080,54014
C0013080,54069
C0013080,54093
C0013080,54097
C0013080,54101
C0013080,54102
C0013080,54148
C0013080,54943
C0013080,56246
C0013080,56911
C0013080,571
C0013080,57466
C0013080,58494
C0013080,6285
C0013080,63977
C0013080,6450
C0013080,6453
C0013080,6493
C0013080,64968
C0013080,6526
C0013080,6651
C0013080,7074
C0013080,7113
C0013080,7267
C0013080,7485
C0013080,757
C0013080,8208
C0013080,8624
C0013080,873
C0013080,874
C0013080,8867
C0013080,9073
C0013080,94104
C0013080,9551
C0013080,9588
C0013080,9875
C0013080,9946
C0013080,9980
C0013080,9992
C0027055,100506742
C0027055,331
C0027055,406891
C0027055,406902
C0027055,406903
C0027055,406924
C0027055,406948
C0027055,406957
C0027055,406959
C0027055,406962
C0027055,406974
C0027055,406989
C0027055,407019
C0027055,442903
C0027055,442904
C0027055,442905
C0027055,442920
C0027055,494323
C0027055,5350
C0027055,554210
C0027055,5601
C0027055,56616
C0027055,574506
C0027055,6546
C0027055,664617
C0027055,6652
C0027055,693121
C0027055,693124
C0027055,693183
C0027055,840
C1272641,100130460
C1272641,100506532
C1272641,100506697
C1272641,100528007
C1272641,100529257
C1272641,10129
C1272641,101927697
C1272641,105
C1272641,114792
C1272641,125150
C1272641,128611
C1272641,143872
C1272641,144100
C1272641,1445
C1272641,200810
C1272641,219621
C1272641,2242
C1272641,22834
C1272641,22978
C1272641,23026
C1272641,254102
C1272641,27347
C1272641,2887
C1272641,3010
C1272641,4134
C1272641,4856
C1272641,4883
C1272641,4978
C1272641,53353
C1272641,54897
C1272641,54986
C1272641,55333
C1272641,55553
C1272641,5593
C1272641,57412
C1272641,57480
C1272641,57568
C1272641,6196
C1272641,64116
C1272641,64359
C1272641,783
C1272641,80777
C1272641,829
C1272641,83696
C1272641,93589
C1272641,93986
C1272641,9570
C1271104,100130460
C1271104,100506532
C1271104,100506697
C1271104,100528007
C1271104,100529257
C1271104,10129
C1271104,101927697
C1271104,105
C1271104,114792
C1271104,125150
C1271104,128611
C1271104,143872
C1271104,144100
C1271104,1445
C1271104,200810
C1271104,219621
C1271104,2242
C1271104,22834
C1271104,22978
C1271104,23026
C1271104,254102
C1271104,27347
C1271104,2887
C1271104,3010
C1271104,4134
C1271104,4856
C1271104,4883
C1271104,4978
C1271104,53353
C1271104,54897
C1271104,54986
C1271104,55333
C1271104,55553
C1271104,5593
C1271104,57412
C1271104,57480
C1271104,57568
C1271104,6196
C1271104,64116
C1271104,64359
C1271104,783
C1271104,80777
C1271104,829
C1271104,83696
C1271104,93589
C1271104,93986
C1271104,9570
C0036572,1103
C0036572,1128
C0036572,11284
C0036572,1143
C0036572,147
C0036572,1583
C0036572,2166
C0036572,2290
C0036572,249
C0036572,2558
C0036572,2572
C0036572,2593
C0036572,2897
C0036572,3351
C0036572,348980
C0036572,3737
C0036572,3767
C0036572,38
C0036572,4804
C0036572,4986
C0036572,5066
C0036572,54715
C0036572,57030
C0036572,57468
C0036572,57534
C0036572,5816
C0036572,5978
C0036572,6529
C0036572,6546
C0036572,6547
C0036572,6752
C0036572,6792
C0036572,6854
C0036572,93183
C0037274,10142
C0037274,10308
C0037274,10443
C0037274,22902
C0037274,23043
C0037274,239
C0037274,2707
C0037274,2803
C0037274,2921
C0037274,29896
C0037274,3304
C0037274,3398
C0037274,3554
C0037274,3759
C0037274,414062
C0037274,4616
C0037274,4714
C0037274,4929
C0037274,5209
C0037274,54345
C0037274,54469
C0037274,55422
C0037274,5652
C0037274,57162
C0037274,5806
C0037274,5991
C0037274,5996
C0037274,6314
C0037274,6421
C0037274,6498
C0037274,6730
C0037274,6742
C0037274,7109
C0037274,7130
C0037274,7324
C0037274,79101
C0037274,8554
C0037274,8615
C0037274,8870
C0037274,8975
C0037274,9034
C0037274,9308
C0037274,9562
C0009324,1001
C0009324,100533107
C0009324,100996485
C0009324,101927324
C0009324,10544
C0009324,11315
C0009324,1235
C0009324,150962
C0009324,23046
C0009324,23308
C0009324,2494
C0009324,3172
C0009324,345611
C0009324,3579
C0009324,3663
C0009324,3683
C0009324,3912
C0009324,51750
C0009324,54535
C0009324,55876
C0009324,5739
C0009324,5788
C0009324,629
C0009324,639
C0009324,64170
C0009324,7850
C0009324,84441
C0009324,8624
C0009324,8767
C0009324,8877
C0009324,8924
C0009324,8927
C0009324,9966
C0007137,10399
C0007137,1457
C0007137,1459
C0007137,1460
C0007137,1834
C0007137,23410
C0007137,28998
C0007137,3065
C0007137,3312
C0007137,338442
C0007137,3678
C0007137,3713
C0007137,3848
C0007137,3854
C0007137,3858
C0007137,3861
C0007137,3963
C0007137,4014
C0007137,4118
C0007137,51151
C0007137,5478
C0007137,56952
C0007137,5731
C0007137,5747
C0007137,6657
C0007137,6698
C0007137,7012
C0007137,7417
C0007137,8843
C1384666,100507266
C1384666,10788
C1384666,114801
C1384666,130951
C1384666,1369
C1384666,147372
C1384666,2151
C1384666,219749
C1384666,221711
C1384666,2241
C1384666,22871
C1384666,23555
C1384666,285362
C1384666,285590
C1384666,30820
C1384666,339559
C1384666,401548
C1384666,5172
C1384666,55315
C1384666,57493
C1384666,5784
C1384666,6103
C1384666,64374
C1384666,730091
C1384666,7388
C1384666,91
C1384666,9197
C1384666,93979
C1384666,9414
C1384666,9630
C0151786,10069
C0151786,10215
C0151786,10311
C0151786,10317
C0151786,10600
C0151786,10694
C0151786,11096
C0151786,116159
C0151786,116448
C0151786,150082
C0151786,150084
C0151786,1826
C0151786,1827
C0151786,1859
C0151786,2078
C0151786,2114
C0151786,23515
C0151786,23562
C0151786,2551
C0151786,25825
C0151786,25966
C0151786,2618
C0151786,26285
C0151786,270
C0151786,2897
C0151786,29104
C0151786,2992
C0151786,29980
C0151786,30811
