Source_Disease,Target_Disease
C0000786,C0003873
C0000786,C0009375
C0000786,C0002395
C0000786,C0017661
C0000786,C0024667
C0000786,C0024668
C0000786,C0004352
C0000786,C0014175
C0001418,C0033578
C0001418,C0024121
C0001418,C1458155
C0001418,C0007134
C0001418,C0024667
C0001418,C0024668
C0001418,C0009375
C0001418,C0038356
C0002395,C0003873
C0002395,C0000786
C0002395,C0009375
C0002395,C0017661
C0003873,C0031117
C0003873,C0023467
C0003873,C0011860
C0003873,C0014175
C0003873,C0027627
C0003873,C0024121
C0003873,C0004096
C0003873,C0038356
C0003873,C0000786
C0003873,C0009375
C0003873,C0002395
C0003873,C0017661
C0004096,C0003873
C0004096,C0027627
C0004096,C0024121
C0004096,C0038356
C0004352,C0023893
C0004352,C0033578
C0004352,C0151744
C0004352,C0031117
C0004352,C0024667
C0004352,C0024668
C0004352,C0000786
C0004352,C0014175
C0005695,C2239176
C0005695,C0242656
C0005695,C1458155
C0005695,C0919267
C0007131,C0033578
C0007131,C1458155
C0007131,C0025202
C0007131,C0007621
C0007134,C0033578
C0007134,C0001418
C0007134,C0024121
C0007134,C1458155
C0007621,C0033578
C0007621,C1458155
C0007621,C0025202
C0007621,C0007131
C0009375,C0003873
C0009375,C0000786
C0009375,C0002395
C0009375,C0017661
C0009375,C0024667
C0009375,C0024668
C0009375,C0001418
C0009375,C0038356
C0011853,C0024667
C0011853,C0024668
C0011853,C0028754
C0011853,C0017661
C0011860,C0003873
C0011860,C0031117
C0011860,C0023467
C0011860,C0014175
C0014175,C0003873
C0014175,C0031117
C0014175,C0023467
C0014175,C0011860
C0014175,C0024667
C0014175,C0024668
C0014175,C0004352
C0014175,C0000786
C0014175,C0033578
C0014175,C0027627
C0014175,C1458155
C0017661,C0024667
C0017661,C0024668
C0017661,C0011853
C0017661,C0028754
C0017661,C0003873
C0017661,C0000786
C0017661,C0009375
C0017661,C0002395
C0021390,C0033578
C0021390,C0376634
C0021390,C1458155
C0021390,C0038356
C0023467,C0003873
C0023467,C0031117
C0023467,C0011860
C0023467,C0014175
C0023893,C0033578
C0023893,C0004352
C0023893,C0151744
C0023893,C0031117
C0024121,C0033578
C0024121,C0001418
C0024121,C1458155
C0024121,C0007134
C0024121,C0003873
C0024121,C0027627
C0024121,C0004096
C0024121,C0038356
C0024667,C0024668
C0024667,C0011853
C0024667,C0028754
C0024667,C0017661
C0024667,C0004352
C0024667,C0000786
C0024667,C0014175
C0024667,C0001418
C0024667,C0009375
C0024667,C0038356
C0024668,C0024667
C0024668,C0011853
C0024668,C0028754
C0024668,C0017661
C0024668,C0004352
C0024668,C0000786
C0024668,C0014175
C0024668,C0001418
C0024668,C0009375
C0024668,C0038356
C0024668,C0033578
C0024668,C0027627
C0024668,C1458155
C0025202,C0033578
C0025202,C1458155
C0025202,C0007131
C0025202,C0007621
C0027627,C0003873
C0027627,C0024121
C0027627,C0004096
C0027627,C0038356
C0027627,C0024668
C0027627,C0033578
C0027627,C1458155
C0027627,C0014175
C0028754,C0024667
C0028754,C0024668
C0028754,C0011853
C0028754,C0017661
C0031117,C0003873
C0031117,C0023467
C0031117,C0011860
C0031117,C0014175
C0031117,C0023893
C0031117,C0033578
C0031117,C0004352
C0031117,C0151744
C0033578,C0376634
C0033578,C1458155
C0033578,C0038356
C0033578,C0021390
C0033578,C0025202
C0033578,C0007131
C0033578,C0007621
C0033578,C0023893
C0033578,C0004352
C0033578,C0151744
C0033578,C0031117
C0033578,C0001418
C0033578,C0024121
C0033578,C0007134
C0033578,C0024668
C0033578,C0027627
C0033578,C0014175
C0038356,C0033578
C0038356,C0376634
C0038356,C1458155
C0038356,C0021390
C0038356,C0003873
C0038356,C0027627
C0038356,C0024121
C0038356,C0004096
C0038356,C0024667
C0038356,C0024668
C0038356,C0001418
C0038356,C0009375
C0151744,C0023893
C0151744,C0033578
C0151744,C0004352
C0151744,C0031117
C0242656,C2239176
C0242656,C1458155
C0242656,C0005695
C0242656,C0919267
C0376634,C0033578
C0376634,C1458155
C0376634,C0038356
C0376634,C0021390
C0919267,C2239176
C0919267,C0242656
C0919267,C1458155
C0919267,C0005695
C1458155,C0033578
C1458155,C0376634
C1458155,C0038356
C1458155,C0021390
C1458155,C0025202
C1458155,C0007131
C1458155,C0007621
C1458155,C0001418
C1458155,C0024121
C1458155,C0007134
C1458155,C0024668
C1458155,C0027627
C1458155,C0014175
C1458155,C2239176
C1458155,C0242656
C1458155,C0005695
C1458155,C0919267
C2239176,C0242656
C2239176,C1458155
C2239176,C0005695
C2239176,C0919267
