Source_Gene,Target_Gene
226,1000
226,2690
226,3397
226,3659
226,5037
226,5160
226,811
226,10481
226,2057
226,3400
226,3732
226,3945
226,406984
226,4504
226,51129
226,5315
226,57016
226,7291
226,8434
226,9846
226,1436
226,4319
226,5268
226,5478
226,7852
226,8648
226,10457
226,11009
226,1474
226,1789
226,1902
226,26227
226,2886
226,3161
226,3476
226,3925
226,407021
226,4897
226,5655
226,5997
226,6194
226,6423
226,6514
226,898
358,2309
358,284058
358,3852
358,64324
358,2180
358,3400
358,3925
358,4072
358,5037
358,5315
358,5618
358,5685
358,5947
358,6277
358,6319
358,7170
358,7227
358,3397
358,780
358,8648
358,10451
358,5997
563,10451
563,10481
563,11009
563,1474
563,1789
563,1902
563,26227
563,2690
563,2886
563,3732
563,3925
563,3945
563,4072
563,4074
563,5160
563,655
563,6715
563,780
563,811
563,8648
563,9817
563,7170
563,1645
563,1646
563,3161
563,6241
563,1066
563,1591
563,3476
563,3659
563,4319
563,9547
655,2690
655,5105
655,10451
655,10481
655,11009
655,1474
655,1789
655,1902
655,26227
655,2886
655,3732
655,3925
655,3945
655,4072
655,4074
655,5160
655,563
655,6715
655,780
655,811
655,8648
655,9817
655,1000
655,2203
655,3400
655,3659
655,4319
655,5478
655,5655
655,5947
655,5997
655,6095
655,6194
655,7170
655,7291
655,10125
655,1645
655,1646
655,30061
655,5618
655,9547
780,2180
780,3397
780,3400
780,358
780,3852
780,3925
780,4072
780,5037
780,5315
780,5618
780,5685
780,5947
780,6277
780,6319
780,7170
780,7227
780,8648
780,10451
780,10481
780,11009
780,1474
780,1789
780,1902
780,26227
780,2690
780,2886
780,3732
780,3945
780,4074
780,5160
780,563
780,655
780,6715
780,811
780,9817
780,1066
780,1591
780,3476
780,3659
780,4319
780,9547
811,10457
811,284217
811,4897
811,5268
811,57016
811,6241
811,6423
811,8836
811,10451
811,10481
811,11009
811,1474
811,1789
811,1902
811,26227
811,2690
811,2886
811,3732
811,3925
811,3945
811,4072
811,4074
811,5160
811,563
811,655
811,6715
811,780
811,8648
811,9817
811,1000
811,226
811,3397
811,3659
811,5037
811,2057
811,3400
811,406984
811,4504
811,51129
811,5315
811,7291
811,8434
811,9846
898,1646
898,2203
898,3476
898,5105
898,5315
898,57016
898,6194
898,6240
898,6241
898,6319
898,6514
898,1000
898,406984
898,4074
898,5160
898,9817
898,10457
898,10481
898,11009
898,1436
898,1474
898,1789
898,1902
898,2057
898,226
898,26227
898,2886
898,3161
898,3925
898,3945
898,407021
898,4504
898,4897
898,51129
898,5268
898,5655
898,5997
898,6423
898,8648
898,2026
898,8836
898,4072
1000,226
1000,2690
1000,3397
1000,3659
1000,5037
1000,5160
1000,811
1000,406984
1000,4074
1000,6194
1000,6240
1000,898
1000,9817
1000,1436
1000,2057
1000,3732
1000,4319
1000,51129
1000,5268
1000,5478
1000,7291
1000,7852
1000,8434
1000,8648
1000,9846
1000,1789
1000,2203
1000,3400
1000,5655
1000,5947
1000,5997
1000,6095
1000,655
1000,7170
1066,10125
1066,1591
1066,2571
1066,2690
1066,3161
1066,51129
1066,5478
1066,6095
1066,6240
1066,6715
1066,7227
1066,11009
1066,2886
1066,3476
1066,3659
1066,4319
1066,563
1066,780
1066,9547
1066,2180
1066,2309
1066,5105
1066,7291
1436,1000
1436,2057
1436,226
1436,3732
1436,4319
1436,51129
1436,5268
1436,5478
1436,7291
1436,7852
1436,8434
1436,8648
1436,9846
1436,10457
1436,10481
1436,11009
1436,1474
1436,1789
1436,1902
1436,26227
1436,2886
1436,3161
1436,3476
1436,3925
1436,3945
1436,406984
1436,407021
1436,4504
1436,4897
1436,5655
1436,5997
1436,6194
1436,6423
1436,6514
1436,898
1436,10125
1436,2026
1436,64324
1436,10451
1436,2180
1436,4321
1436,6241
1474,10451
1474,10481
1474,11009
1474,1789
1474,1902
1474,26227
1474,2690
1474,2886
1474,3732
1474,3925
1474,3945
1474,4072
1474,4074
1474,5160
1474,563
1474,655
1474,6715
1474,780
1474,811
1474,8648
1474,9817
1474,10457
1474,1436
1474,2057
1474,226
1474,3161
1474,3476
1474,406984
1474,407021
1474,4504
1474,4897
1474,51129
1474,5268
1474,5655
1474,5997
1474,6194
1474,6423
1474,6514
1474,898
1474,4217
1474,57016
1474,9846
1474,1645
1474,2026
1474,2309
1474,3659
1474,5478
1474,6240
1474,8434
1591,54806
1591,10125
1591,1066
1591,2571
1591,2690
1591,3161
1591,51129
1591,5478
1591,6095
1591,6240
1591,6715
1591,7227
1591,11009
1591,3732
1591,4321
1591,5618
1591,5655
1591,2886
1591,3476
1591,3659
1591,4319
1591,563
1591,780
1591,9547
1645,1646
1645,3161
1645,563
1645,6241
1645,6715
1645,1474
1645,2026
1645,2309
1645,26227
1645,3659
1645,407021
1645,4504
1645,5478
1645,6240
1645,8434
1645,9817
1645,10125
1645,30061
1645,5618
1645,655
1645,8648
1645,9547
1645,3476
1645,3852
1645,406984
1645,7852
1646,2203
1646,3476
1646,5105
1646,5315
1646,57016
1646,6194
1646,6240
1646,6241
1646,6319
1646,6514
1646,898
1646,1645
1646,3161
1646,563
1646,6715
1646,10125
1646,30061
1646,5618
1646,655
1646,8648
1646,9547
1646,2026
1646,26227
1646,3852
1646,406984
1646,407021
1646,7852
1789,10451
1789,10481
1789,11009
1789,1474
1789,1902
1789,26227
1789,2690
1789,2886
1789,3732
1789,3925
1789,3945
1789,4072
1789,4074
1789,5160
1789,563
1789,655
1789,6715
1789,780
1789,811
1789,8648
1789,9817
1789,284058
1789,7227
1789,9378
1789,10457
1789,1436
1789,2057
1789,226
1789,3161
1789,3476
1789,406984
1789,407021
1789,4504
1789,4897
1789,51129
1789,5268
1789,5655
1789,5997
1789,6194
1789,6423
1789,6514
1789,898
1789,1000
1789,2203
1789,3400
1789,3659
1789,4319
1789,5478
1789,5947
1789,6095
1789,7170
1789,7291
1902,10451
1902,10481
1902,11009
1902,1474
1902,1789
1902,26227
1902,2690
1902,2886
1902,3732
1902,3925
1902,3945
1902,4072
1902,4074
1902,5160
1902,563
1902,655
1902,6715
1902,780
1902,811
1902,8648
1902,9817
1902,284058
1902,7227
1902,9378
1902,10457
1902,1436
1902,2057
1902,226
1902,3161
1902,3476
1902,406984
1902,407021
1902,4504
1902,4897
1902,51129
1902,5268
1902,5655
1902,5997
1902,6194
1902,6423
1902,6514
1902,898
1902,10125
1902,2026
1902,64324
2026,4504
2026,8836
2026,898
2026,10125
2026,1436
2026,1902
2026,5997
2026,64324
2026,1474
2026,1645
2026,2309
2026,26227
2026,3659
2026,407021
2026,5478
2026,6240
2026,8434
2026,9817
2026,1646
2026,30061
2026,3476
2026,3852
2026,406984
2026,7852
2057,10481
2057,226
2057,3400
2057,3732
2057,3945
2057,406984
2057,4504
2057,51129
2057,5315
2057,57016
2057,7291
2057,811
2057,8434
2057,9846
2057,1000
2057,1436
2057,4319
2057,5268
2057,5478
2057,7852
2057,8648
2057,10457
2057,11009
2057,1474
2057,1789
2057,1902
2057,26227
2057,2886
2057,3161
2057,3476
2057,3925
2057,407021
2057,4897
2057,5655
2057,5997
2057,6194
2057,6423
2057,6514
2057,898
2057,4217
2180,3400
2180,358
2180,3852
2180,3925
2180,4072
2180,5037
2180,5315
2180,5618
2180,5685
2180,5947
2180,6277
2180,6319
2180,7170
2180,7227
2180,3397
2180,780
2180,8648
2180,2309
2180,4217
2180,5105
2180,6514
2180,1066
2180,7291
2180,10451
2180,10457
2180,1436
2180,3161
2180,4321
2180,6241
2203,1646
2203,3476
2203,5105
2203,5315
2203,57016
2203,6194
2203,6240
2203,6241
2203,6319
2203,6514
2203,898
2203,4321
2203,5268
2203,7170
2203,8434
2203,1000
