Source_Gene,Target_Gene
898,1789
898,26227
898,2886
898,8648
1789,26227
1789,2690
1789,2886
1789,8648
1789,898
1789,4319
1789,7170
2180,5618
2180,7170
2180,8648
2180,4321
2690,1789
2690,26227
2690,2886
2690,8648
2690,5618
2690,10125
2886,1789
2886,26227
2886,2690
2886,8648
2886,7170
2886,4319
2886,898
4319,10125
4319,4321
4319,8648
4319,2886
4319,1789
4319,7170
4321,10125
4321,4319
4321,5618
4321,7170
4321,2180
5618,2180
5618,7170
5618,8648
5618,2690
5618,4321
5618,10125
7170,2180
7170,5618
7170,8648
7170,2886
7170,4321
7170,1789
7170,4319
8648,2180
8648,5618
8648,7170
8648,1789
8648,26227
8648,2690
8648,2886
8648,4319
8648,898
8648,10125
10125,4319
10125,4321
10125,2690
10125,5618
10125,8648
26227,1789
26227,2690
26227,2886
26227,8648
26227,898
