"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"88.0","interacts with","C0007621 (interacts with) 26227","false","interacts with","C0007621 (interacts with) 26227"
"197.5633033633034","interacts with","C0014175 (interacts with) 8648","false","interacts with","C0014175 (interacts with) 8648"
"107.30387390387385","interacts with","C0014175 (interacts with) 5618","false","interacts with","C0014175 (interacts with) 5618"
"166.81474081474087","interacts with","C0014175 (interacts with) 10125","false","interacts with","C0014175 (interacts with) 10125"
"88.0","interacts with","C0919267 (interacts with) 898","false","interacts with","C0919267 (interacts with) 898"
"88.0","interacts with","C0021390 (interacts with) 1789","false","interacts with","C0021390 (interacts with) 1789"
"128.92634032634032","interacts with","C0038356 (interacts with) 7170","false","interacts with","C0038356 (interacts with) 7170"
"117.56382506382505","interacts with","C0038356 (interacts with) 4319","false","interacts with","C0038356 (interacts with) 4319"
"169.17954267954275","interacts with","C0038356 (interacts with) 1789","false","interacts with","C0038356 (interacts with) 1789"
"74.51406926406925","interacts with","C0017661 (interacts with) 4321","false","interacts with","C0017661 (interacts with) 4321"
"92.11406926406931","interacts with","C0017661 (interacts with) 2180","false","interacts with","C0017661 (interacts with) 2180"
"88.0","interacts with","C0028754 (interacts with) 2180","false","interacts with","C0028754 (interacts with) 2180"
"88.0","interacts with","C0011853 (interacts with) 2180","false","interacts with","C0011853 (interacts with) 2180"
"88.0","interacts with","C0011860 (interacts with) 10125","false","interacts with","C0011860 (interacts with) 10125"
"88.0","interacts with","C0007131 (interacts with) 26227","false","interacts with","C0007131 (interacts with) 26227"
"88.0","interacts with","C0007134 (interacts with) 2886","false","interacts with","C0007134 (interacts with) 2886"
"88.0","interacts with","C0023467 (interacts with) 10125","false","interacts with","C0023467 (interacts with) 10125"
"88.0","interacts with","C0005695 (interacts with) 898","false","interacts with","C0005695 (interacts with) 898"
"88.0","interacts with","C0002395 (interacts with) 4321","false","interacts with","C0002395 (interacts with) 4321"
"88.0","interacts with","C0004096 (interacts with) 4319","false","interacts with","C0004096 (interacts with) 4319"
"88.0","interacts with","C0025202 (interacts with) 26227","false","interacts with","C0025202 (interacts with) 26227"
"400.0","interacts with","C1458155 (interacts with) 898","false","interacts with","C1458155 (interacts with) 898"
"327.492390942391","interacts with","C1458155 (interacts with) 8648","false","interacts with","C1458155 (interacts with) 8648"
"145.614923964924","interacts with","C1458155 (interacts with) 2886","false","interacts with","C1458155 (interacts with) 2886"
"173.3205905205905","interacts with","C1458155 (interacts with) 26227","false","interacts with","C1458155 (interacts with) 26227"
"149.32548562548567","interacts with","C1458155 (interacts with) 1789","false","interacts with","C1458155 (interacts with) 1789"
"90.33317793317794","interacts with","C0024121 (interacts with) 4319","false","interacts with","C0024121 (interacts with) 4319"
"104.88702408702407","interacts with","C0024121 (interacts with) 2886","false","interacts with","C0024121 (interacts with) 2886"
"107.57950937950932","interacts with","C0009375 (interacts with) 7170","false","interacts with","C0009375 (interacts with) 7170"
"73.94141414141411","interacts with","C0009375 (interacts with) 4321","false","interacts with","C0009375 (interacts with) 4321"
"107.72811077811076","interacts with","C0027627 (interacts with) 8648","false","interacts with","C0027627 (interacts with) 8648"
"72.12811077811075","interacts with","C0027627 (interacts with) 4319","false","interacts with","C0027627 (interacts with) 4319"
"99.64417804417803","interacts with","C0000786 (interacts with) 5618","false","interacts with","C0000786 (interacts with) 5618"
"65.4219558219558","interacts with","C0000786 (interacts with) 4321","false","interacts with","C0000786 (interacts with) 4321"
"88.0","interacts with","C0242656 (interacts with) 898","false","interacts with","C0242656 (interacts with) 898"
"88.0","interacts with","C0376634 (interacts with) 1789","false","interacts with","C0376634 (interacts with) 1789"
"113.144733044733","interacts with","C0031117 (interacts with) 2690","false","interacts with","C0031117 (interacts with) 2690"
"100.13520923520925","interacts with","C0031117 (interacts with) 10125","false","interacts with","C0031117 (interacts with) 10125"
"88.0","interacts with","C0151744 (interacts with) 2690","false","interacts with","C0151744 (interacts with) 2690"
"88.0","interacts with","C2239176 (interacts with) 898","false","interacts with","C2239176 (interacts with) 898"
"96.97872127872127","interacts with","C0001418 (interacts with) 7170","false","interacts with","C0001418 (interacts with) 7170"
"107.64538794538795","interacts with","C0001418 (interacts with) 2886","false","interacts with","C0001418 (interacts with) 2886"
"106.10761460761455","interacts with","C0004352 (interacts with) 5618","false","interacts with","C0004352 (interacts with) 5618"
"109.9742812742813","interacts with","C0004352 (interacts with) 2690","false","interacts with","C0004352 (interacts with) 2690"
