"Attribute","AverageShortestPathLength","BetweennessCentrality","cl1.Status","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"Disease_Attribute","4.363636363636363","0.0","Outlier","0.22916666666666669","0.0","1","47","8","false","C0007621","5.0","0","1","0","0.3272727272727273","false","0","C0007621","0","0.0"
"Disease_Attribute","3.090909090909091","0.1013958557298938","Outlier","0.3235294117647059","0.0","3","83","4","false","C0014175","5.0","0","3","0","0.5818181818181818","false","0","C0014175","702","0.36363636363636365"
"Disease_Attribute","4.590909090909091","0.0","Outlier","0.21782178217821782","0.0","1","37","8","false","C0919267","5.0","0","1","0","0.28181818181818186","false","0","C0919267","0","0.0"
"Disease_Attribute","4.0","0.0","Outlier","0.25","0.0","1","42","6","false","C0021390","5.0","0","1","0","0.4","false","0","C0021390","0","0.0"
"Disease_Attribute","3.0454545454545454","0.08659347464844296","Outlier","0.3283582089552239","0.0","3","158","4","false","C0038356","5.0","0","3","0","0.5909090909090909","false","0","C0038356","642","0.3333333333333333"
"Disease_Attribute","4.045454545454546","0.020779106376357968","Outlier","0.24719101123595502","0.0","2","191","6","false","C0017661","5.0","0","2","0","0.3909090909090908","false","0","C0017661","148","0.5"
"Disease_Attribute","4.590909090909091","0.0","Outlier","0.21782178217821782","0.0","1","123","6","false","C0028754","5.0","0","1","0","0.28181818181818186","false","0","C0028754","0","0.0"
"Disease_Attribute","4.590909090909091","0.0","Outlier","0.21782178217821782","0.0","1","44","6","false","C0011853","5.0","0","1","0","0.28181818181818186","false","0","C0011853","0","0.0"
"Disease_Attribute","4.363636363636363","0.0","Outlier","0.22916666666666669","0.0","1","73","6","false","C0011860","5.0","0","1","0","0.3272727272727273","false","0","C0011860","0","0.0"
"Disease_Attribute","4.363636363636363","0.0","Outlier","0.22916666666666669","0.0","1","45","8","false","C0007131","5.0","0","1","0","0.3272727272727273","false","0","C0007131","0","0.0"
"Disease_Attribute","4.0","0.0","Outlier","0.25","0.0","1","53","6","false","C0007134","5.0","0","1","0","0.4","false","0","C0007134","0","0.0"
"Disease_Attribute","4.363636363636363","0.0","Outlier","0.22916666666666669","0.0","1","49","6","false","C0023467","5.0","0","1","0","0.3272727272727273","false","0","C0023467","0","0.0"
"Disease_Attribute","4.590909090909091","0.0","Outlier","0.21782178217821782","0.0","1","34","8","false","C0005695","5.0","0","1","0","0.28181818181818186","false","0","C0005695","0","0.0"
"Disease_Attribute","4.818181818181818","0.0","Outlier","0.20754716981132074","0.0","1","69","8","false","C0002395","5.0","0","1","0","0.23636363636363633","false","0","C0002395","0","0.0"
"Disease_Attribute","4.2727272727272725","0.0","Outlier","0.23404255319148937","0.0","1","50","6","false","C0004096","5.0","0","1","0","0.3454545454545455","false","0","C0004096","0","0.0"
"Disease_Attribute","4.363636363636363","0.0","Outlier","0.22916666666666669","0.0","1","75","8","false","C0025202","5.0","0","1","0","0.3272727272727273","false","0","C0025202","0","0.0"
