"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"20.444444444444443","interacts with","C0376634 (interacts with) C1458155","false","interacts with","C0376634 (interacts with) C1458155"
"19.888888888888886","interacts with","C0021390 (interacts with) C0038356","false","interacts with","C0021390 (interacts with) C0038356"
"20.444444444444443","interacts with","C0021390 (interacts with) C1458155","false","interacts with","C0021390 (interacts with) C1458155"
"2.0","interacts with","C0021390 (interacts with) C0376634","false","interacts with","C0021390 (interacts with) C0376634"
"21.666666666666664","interacts with","C0021390 (interacts with) C0033578","false","interacts with","C0021390 (interacts with) C0033578"
"9.75","interacts with","C0011853 (interacts with) C0017661","false","interacts with","C0011853 (interacts with) C0017661"
"2.0","interacts with","C0011853 (interacts with) C0028754","false","interacts with","C0011853 (interacts with) C0028754"
"39.083333333333336","interacts with","C0011853 (interacts with) C0024668","false","interacts with","C0011853 (interacts with) C0024668"
"13.166666666666668","interacts with","C0011853 (interacts with) C0024667","false","interacts with","C0011853 (interacts with) C0024667"
"2.0","interacts with","C0007621 (interacts with) C0025202","false","interacts with","C0007621 (interacts with) C0025202"
"28.82020202020202","interacts with","C0007621 (interacts with) C1458155","false","interacts with","C0007621 (interacts with) C1458155"
"31.179797979797982","interacts with","C0007621 (interacts with) C0033578","false","interacts with","C0007621 (interacts with) C0033578"
"28.820202020202018","interacts with","C0025202 (interacts with) C1458155","false","interacts with","C0025202 (interacts with) C1458155"
"31.179797979797986","interacts with","C0025202 (interacts with) C0033578","false","interacts with","C0025202 (interacts with) C0033578"
"2.0","interacts with","C0007131 (interacts with) C0007621","false","interacts with","C0007131 (interacts with) C0007621"
"2.0","interacts with","C0007131 (interacts with) C0025202","false","interacts with","C0007131 (interacts with) C0025202"
"28.82020202020201","interacts with","C0007131 (interacts with) C1458155","false","interacts with","C0007131 (interacts with) C1458155"
"31.17979797979799","interacts with","C0007131 (interacts with) C0033578","false","interacts with","C0007131 (interacts with) C0033578"
"58.0","interacts with","C0919267 (interacts with) C1458155","false","interacts with","C0919267 (interacts with) C1458155"
"2.0","interacts with","C0919267 (interacts with) C2239176","false","interacts with","C0919267 (interacts with) C2239176"
"2.0","interacts with","C0242656 (interacts with) C0919267","false","interacts with","C0242656 (interacts with) C0919267"
"58.0","interacts with","C0242656 (interacts with) C1458155","false","interacts with","C0242656 (interacts with) C1458155"
"2.0","interacts with","C0242656 (interacts with) C2239176","false","interacts with","C0242656 (interacts with) C2239176"
"2.0","interacts with","C0005695 (interacts with) C0919267","false","interacts with","C0005695 (interacts with) C0919267"
"58.0","interacts with","C0005695 (interacts with) C1458155","false","interacts with","C0005695 (interacts with) C1458155"
"2.0","interacts with","C0005695 (interacts with) C0242656","false","interacts with","C0005695 (interacts with) C0242656"
"2.0","interacts with","C0005695 (interacts with) C2239176","false","interacts with","C0005695 (interacts with) C2239176"
"10.852380952380953","interacts with","C0023893 (interacts with) C0031117","false","interacts with","C0023893 (interacts with) C0031117"
"2.0","interacts with","C0023893 (interacts with) C0151744","false","interacts with","C0023893 (interacts with) C0151744"
"37.75714285714285","interacts with","C0023893 (interacts with) C0033578","false","interacts with","C0023893 (interacts with) C0033578"
"20.599999999999998","interacts with","C0004096 (interacts with) C0038356","false","interacts with","C0004096 (interacts with) C0038356"
"12.200000000000001","interacts with","C0004096 (interacts with) C0024121","false","interacts with","C0004096 (interacts with) C0024121"
"12.6","interacts with","C0004096 (interacts with) C0027627","false","interacts with","C0004096 (interacts with) C0027627"
"24.172727272727272","interacts with","C0027627 (interacts with) C1458155","false","interacts with","C0027627 (interacts with) C1458155"
"17.10606060606061","interacts with","C0027627 (interacts with) C0033578","false","interacts with","C0027627 (interacts with) C0033578"
"5.3999999999999995","interacts with","C0027627 (interacts with) C0038356","false","interacts with","C0027627 (interacts with) C0038356"
"30.666666666666668","interacts with","C0011860 (interacts with) C0014175","false","interacts with","C0011860 (interacts with) C0014175"
"2.0","interacts with","C0011860 (interacts with) C0023467","false","interacts with","C0011860 (interacts with) C0023467"
"11.75","interacts with","C0011860 (interacts with) C0031117","false","interacts with","C0011860 (interacts with) C0031117"
"11.75","interacts with","C0023467 (interacts with) C0031117","false","interacts with","C0023467 (interacts with) C0031117"
"10.852380952380953","interacts with","C0031117 (interacts with) C0151744","false","interacts with","C0031117 (interacts with) C0151744"
"36.00606060606061","interacts with","C0031117 (interacts with) C0033578","false","interacts with","C0031117 (interacts with) C0033578"
"31.378787878787882","interacts with","C0038356 (interacts with) C1458155","false","interacts with","C0038356 (interacts with) C1458155"
"19.888888888888886","interacts with","C0038356 (interacts with) C0376634","false","interacts with","C0038356 (interacts with) C0376634"
"20.61111111111111","interacts with","C0007134 (interacts with) C1458155","false","interacts with","C0007134 (interacts with) C1458155"
"9.722222222222221","interacts with","C0007134 (interacts with) C0024121","false","interacts with","C0007134 (interacts with) C0024121"
"21.833333333333332","interacts with","C0007134 (interacts with) C0033578","false","interacts with","C0007134 (interacts with) C0033578"
"58.0","interacts with","C1458155 (interacts with) C2239176","false","interacts with","C1458155 (interacts with) C2239176"
"6.9","interacts with","C0024121 (interacts with) C0038356","false","interacts with","C0024121 (interacts with) C0038356"
"4.466666666666667","interacts with","C0024121 (interacts with) C0027627","false","interacts with","C0024121 (interacts with) C0027627"
"24.506060606060608","interacts with","C0024121 (interacts with) C1458155","false","interacts with","C0024121 (interacts with) C1458155"
