"Attribute","AverageShortestPathLength","BetweennessCentrality","cl1.Status","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"Disease_Attribute","2.09375","0.0","Outlier","0.47761194029850745","1.0","4","94","3","false","C0376634","12.5","0","4","0","0.9356617647058824","false","0","C0376634","0","0.5"
"Disease_Attribute","2.09375","0.0","Outlier","0.47761194029850745","1.0","4","42","3","false","C0021390","12.5","0","4","0","0.9356617647058824","false","0","C0021390","0","0.5"
"Disease_Attribute","2.40625","0.0","Outlier","0.4155844155844156","1.0","4","123","3","false","C0028754","8.75","0","4","0","0.9172794117647058","false","0","C0028754","0","0.5833333333333334"
"Disease_Attribute","2.40625","0.0","Outlier","0.4155844155844156","1.0","4","44","3","false","C0011853","8.75","0","4","0","0.9172794117647058","false","0","C0011853","0","0.5833333333333334"
"Disease_Attribute","2.25","0.0","Outlier","0.4444444444444444","1.0","4","47","4","false","C0007621","10.5","0","4","0","0.9264705882352942","false","0","C0007621","0","0.5"
"Disease_Attribute","2.25","0.0","Outlier","0.4444444444444444","1.0","4","75","4","false","C0025202","10.5","0","4","0","0.9264705882352942","false","0","C0025202","0","0.5"
"Disease_Attribute","2.25","0.0","Outlier","0.4444444444444444","1.0","4","45","4","false","C0007131","10.5","0","4","0","0.9264705882352942","false","0","C0007131","0","0.5"
"Disease_Attribute","2.375","0.0","Outlier","0.42105263157894735","1.0","4","37","4","false","C0919267","7.25","0","4","0","0.9191176470588235","false","0","C0919267","0","0.4264705882352941"
"Disease_Attribute","2.375","0.0","Outlier","0.42105263157894735","1.0","4","91","4","false","C0242656","7.25","0","4","0","0.9191176470588235","false","0","C0242656","0","0.4264705882352941"
"Disease_Attribute","2.375","0.0","Outlier","0.42105263157894735","1.0","4","95","4","false","C2239176","7.25","0","4","0","0.9191176470588235","false","0","C2239176","0","0.4264705882352941"
"Disease_Attribute","2.375","0.0","Outlier","0.42105263157894735","1.0","4","34","4","false","C0005695","7.25","0","4","0","0.9191176470588235","false","0","C0005695","0","0.4264705882352941"
"Disease_Attribute","2.1875","0.0","Outlier","0.45714285714285713","1.0","4","84","3","false","C0151744","9.25","0","4","0","0.9301470588235294","false","0","C0151744","0","0.42045454545454547"
"Disease_Attribute","2.1875","0.0","Cluster","0.45714285714285713","1.0","4","47","3","false","C0023893","9.25","0","4","0","0.9301470588235294","false","0","C0023893","0","0.42045454545454547"
"Disease_Attribute","2.25","0.0","Outlier","0.4444444444444444","1.0","4","50","3","false","C0004096","10.0","0","4","0","0.9264705882352942","false","0","C0004096","0","0.5"
"Disease_Attribute","1.75","0.01876221896383187","Outlier","0.5714285714285714","0.6428571428571429","8","81","2","false","C0027627","11.75","0","8","0","0.9558823529411765","false","0","C0027627","102","0.3671875"
"Disease_Attribute","2.28125","0.0","Outlier","0.4383561643835616","1.0","4","73","3","false","C0011860","8.75","0","4","0","0.9246323529411765","false","0","C0011860","0","0.4605263157894737"
"Disease_Attribute","2.28125","0.0","Outlier","0.4383561643835616","1.0","4","49","3","false","C0023467","8.75","0","4","0","0.9246323529411765","false","0","C0023467","0","0.4605263157894737"
"Disease_Attribute","1.9375","0.03183214634827537","Outlier","0.5161290322580645","0.5","8","117","3","false","C0031117","8.0","0","8","0","0.9448529411764706","false","0","C0031117","88","0.3076923076923077"
"Disease_Attribute","1.625","0.07614930991947118","Outlier","0.6153846153846154","0.4393939393939394","12","158","2","false","C0038356","9.416666666666666","0","12","0","0.9632352941176471","false","0","C0038356","300","0.2942708333333333"
"Disease_Attribute","2.09375","0.0","Outlier","0.47761194029850745","1.0","4","53","3","false","C0007134","12.5","0","4","0","0.9356617647058824","false","0","C0007134","0","0.5"
"Disease_Attribute","1.5","0.3065463098729228","Outlier","0.6666666666666666","0.2647058823529412","17","198","3","false","C1458155","6.882352941176471","0","17","0","0.9705882352941176","false","0","C1458155","740","0.222011385199241"
"Disease_Attribute","1.8125","0.02362333007494298","Outlier","0.5517241379310345","0.6071428571428571","8","59","3","false","C0024121","10.25","0","8","0","0.9522058823529411","false","0","C0024121","106","0.3416666666666667"
"Disease_Attribute","1.5","0.20744658567239216","Outlier","0.6666666666666666","0.2867647058823529","17","212","3","false","C0033578","7.352941176470588","0","17","0","0.9705882352941176","false","0","C0033578","572","0.23719165085388993"
"Disease_Attribute","1.8125","0.02562185798072895","Cluster","0.5517241379310345","0.6071428571428571","8","33","3","false","C0001418","11.125","0","8","0","0.9522058823529411","false","0","C0001418","120","0.37083333333333335"
"Disease_Attribute","1.65625","0.09585777126099707","Outlier","0.6037735849056604","0.41818181818181815","11","83","2","false","C0014175","9.909090909090908","0","11","0","0.9613970588235294","false","0","C0014175","308","0.3096590909090909"
"Disease_Attribute","1.90625","0.03073287599497277","Outlier","0.5245901639344263","0.5357142857142857","8","112","3","false","C0004352","9.375","0","8","0","0.9466911764705882","false","0","C0004352","104","0.3472222222222222"
"Disease_Attribute","1.59375","0.13959598868873063","Outlier","0.6274509803921569","0.4230769230769231","13","94","2","false","C0024668","9.461538461538462","0","13","0","0.9650735294117647","false","0","C0024668","450","0.2956730769230769"
"Disease_Attribute","1.90625","0.03317012288786482","Outlier","0.5245901639344263","0.4666666666666667","10","88","3","false","C0024667","8.4","0","10","0","0.9466911764705882","false","0","C0024667","122","0.336"
"Disease_Attribute","2.125","0.01943426197458456","Outlier","0.47058823529411764","0.5714285714285714","8","191","3","false","C0017661","7.875","0","8","0","0.9338235294117647","false","0","C0017661","68","0.39375"
"Disease_Attribute","2.53125","0.0","Outlier","0.3950617283950617","1.0","4","69","4","false","C0002395","9.0","0","4","0","0.9099264705882353","false","0","C0002395","0","0.5"
"Disease_Attribute","2.03125","0.01851783968719453","Outlier","0.49230769230769234","0.6071428571428571","8","43","3","false","C0009375","9.375","0","8","0","0.9393382352941176","false","0","C0009375","116","0.4076086956521739"
